time,temperature, vibrationX, vibrationY, vibrationZ
2025-12-23T03:57:25.195Z,0,0,0,0
2025-12-23T03:58:25.190Z,0,0,0,0
2025-12-23T03:59:25.193Z,0,0,0,0
2025-12-23T04:00:25.194Z,0,0,0,0
2025-12-23T04:01:25.213Z,0,0,0,0
2025-12-23T04:02:25.191Z,0,0,0,0
2025-12-23T04:03:25.191Z,0,0,0,0
2025-12-23T04:05:20.382Z,0,0,0,0
2025-12-23T04:06:20.355Z,0,0,0,0
2025-12-23T04:07:20.355Z,0,0,0,0
2025-12-23T04:08:20.355Z,0,0,0,0
2025-12-23T04:09:20.356Z,0,0,0,0
2025-12-23T04:10:20.356Z,0,0,0,0
2025-12-23T04:11:20.379Z,0,0,0,0
2025-12-23T04:12:20.360Z,0,0,0,0
2025-12-23T04:13:20.360Z,0,0,0,0
2025-12-23T04:14:20.363Z,0,0,0,0
2025-12-23T04:15:20.360Z,0,0,0,0
2025-12-23T04:16:20.362Z,0,0,0,0
2025-12-23T04:17:20.362Z,0,0,0,0
2025-12-23T04:18:20.364Z,0,0,0,0
2025-12-23T04:19:20.363Z,0,0,0,0
2025-12-23T04:20:20.365Z,0,0,0,0
2025-12-23T04:21:20.364Z,0,0,0,0
2025-12-23T04:22:20.365Z,0,0,0,0
2025-12-23T04:23:20.365Z,0,0,0,0
2025-12-23T04:24:20.366Z,0,0,0,0
2025-12-23T04:25:20.366Z,0,0,0,0
2025-12-23T04:26:20.370Z,0,0,0,0
2025-12-23T04:27:20.369Z,0,0,0,0
2025-12-23T04:28:20.369Z,0,0,0,0
2025-12-23T04:29:20.370Z,0,0,0,0
2025-12-23T04:30:20.369Z,0,0,0,0
2025-12-23T04:31:20.370Z,0,0,0,0
2025-12-23T04:32:20.370Z,0,0,0,0
2025-12-23T04:33:20.371Z,0,0,0,0
2025-12-23T04:34:20.368Z,0,0,0,0
2025-12-23T04:35:20.371Z,0,0,0,0
2025-12-23T04:36:20.372Z,0,0,0,0
2025-12-23T04:37:20.372Z,0,0,0,0
2025-12-23T04:38:20.373Z,0,0,0,0
2025-12-23T04:39:20.372Z,0,0,0,0
2025-12-23T04:40:20.375Z,0,0,0,0
2025-12-23T04:41:20.374Z,0,0,0,0
2025-12-23T04:42:20.375Z,0,0,0,0
2025-12-23T04:43:20.375Z,0,0,0,0
2025-12-23T04:44:20.377Z,0,0,0,0
2025-12-23T04:45:20.377Z,0,0,0,0
2025-12-23T04:46:20.376Z,0,0,0,0
2025-12-23T04:47:20.376Z,0,0,0,0
2025-12-23T04:48:20.378Z,0,0,0,0
2025-12-23T04:49:20.376Z,0,0,0,0
2025-12-23T04:50:20.377Z,0,0,0,0
2025-12-23T04:51:20.379Z,0,0,0,0
2025-12-23T04:52:20.379Z,0,0,0,0
2025-12-23T04:53:20.380Z,0,0,0,0
2025-12-23T04:54:20.379Z,0,0,0,0
2025-12-23T04:55:20.380Z,0,0,0,0
2025-12-23T04:56:20.380Z,0,0,0,0
2025-12-23T04:57:20.379Z,0,0,0,0
2025-12-23T04:58:20.380Z,0,0,0,0
2025-12-23T04:59:20.382Z,0,0,0,0
2025-12-23T05:00:20.379Z,0,0,0,0
2025-12-23T05:01:20.381Z,0,0,0,0
2025-12-23T05:02:20.382Z,0,0,0,0
2025-12-23T05:03:20.389Z,0,0,0,0
2025-12-23T05:04:20.390Z,0,0,0,0
2025-12-23T05:05:20.390Z,0,0,0,0
2025-12-23T05:06:20.394Z,0,0,0,0
2025-12-23T05:07:20.401Z,0,0,0,0
2025-12-23T05:08:20.394Z,0,0,0,0
2025-12-23T05:09:20.395Z,0,0,0,0
2025-12-23T05:10:20.395Z,0,0,0,0
